"ID";"IDIOMA";"REFRAN"
1869;"ITALIANO";"E bello predicare il digiuno a corpo pieno."
1870;"ITALIANO";"E bene aver degli amici per tutto."
1871;"ITALIANO";"E buon comprare quando un altro vuol vendere."
1872;"ITALIANO";"E buon tenere i panni a chi nuota."
1873;"ITALIANO";"E come l’ancora, che sta sempre nel mare e non impara mai nuotare."
1874;"ITALIANO";"E facile far paura al toro dalla finestra."
1875;"ITALIANO";"Egli ben sa dove la spina il punge."
1876;"ITALIANO";"Egli dà le pecore in guardia al lupo."
1877;"ITALIANO";"Egli è buono a mandarlo per la morte."
1878;"ITALIANO";"Egli ha bel dir bugie chi viene da lontano."
1879;"ITALIANO";"Egli ha fatto come quel Perugino, che subito che gli fu rotto il capo, corse a casa per la celata."
1880;"ITALIANO";"Egli misura gli altri con la sua canna."
1881;"ITALIANO";"Egli sa dove il diavolo tiene la coda."
1882;"ITALIANO";"Egli scannerebbe una cimice per bersi il sangue."
1883;"ITALIANO";"Egli vende l’uccello in su la frasca."
1884;"ITALIANO";"Egli venderebbe sino alla sua parte del sole."
1885;"ITALIANO";"Ei grida pria d’esser battuto."
1886;"ITALIANO";"E la peggior ruota quella che fa più rumore."
1887;"ITALIANO";"E mala cosa esser cattivo, ma è peggiore esser conosciuto."
1888;"ITALIANO";"E mal rubare a casa de’ ladri."
1889;"ITALIANO";"E meglio aver oggi un uovo che domani una gallina."
1890;"ITALIANO";"E meglio aver un’ape sola che un esercito di mosche."
1891;"ITALIANO";"E meglio cader dalla finestra che dal tetto."
1892;"ITALIANO";"E meglio dare che aver a dare."
1893;"ITALIANO";"E meglio dar la lana che la pecora."
1894;"ITALIANO";"E meglio domandar che errare."
1895;"ITALIANO";"E meglio esser capo di gatto che coda di leone."
1896;"ITALIANO";"E meglio esser capo di lucertola che coda di dracone."
1897;"ITALIANO";"E meglio esser solo che mal accompagnato."
1898;"ITALIANO";"E meglio esser uccel di bosco che di gabbia."
1899;"ITALIANO";"E meglio il cuor felice che la borsa."
1900;"ITALIANO";"E meglio invidia che pietà."
1901;"ITALIANO";"E meglio lasciare che mancare."
1902;"ITALIANO";"E meglio perder la sella che il cavallo."
1903;"ITALIANO";"E meglio piegare che rompere."
1904;"ITALIANO";"E meglio sdrucciolare col piè che con la lingua."
1905;"ITALIANO";"E meglio sentir cantar il rossignuolo che rodere il topo."
1906;"ITALIANO";"E meglio stuzzicare un cane che una vecchia."
1907;"ITALIANO";"E meglio tardi che mai."
1908;"ITALIANO";"E meglio una volta che mai."
1909;"ITALIANO";"E meglio un magro accordo che una grassa sentenza."
1910;"ITALIANO";"E meglio un papa vivo che dieci morti."
1911;"ITALIANO";"E meglio un prossimo vicino che un lontano cugino."
1912;"ITALIANO";"E meglio un uccello in gabbia che cento fuori."
1913;"ITALIANO";"E meglio vin torbo che acqua chiara."
1914;"ITALIANO";"E’ non mi morse mai cane ch’io non avessi del suo pelo."
1915;"ITALIANO";"E’ non si grida mai al lupo che non sia in paese."
1916;"ITALIANO";"E padron del mondo chi lo disprezza, schiavo chi lo apprezza."
1917;"ITALIANO";"E padrone della vita altrui chi la sua sprezza."
1918;"ITALIANO";"E picciola la punta della spina, ma chi sente il dolore non se ne dimentica."
1919;"ITALIANO";"E ricco chi non ha debiti."
1920;"ITALIANO";"Erra il prete all’altare."
1921;"ITALIANO";"Errore non fa pagamento."
1922;"ITALIANO";"E sempre buono aver due corde al suo arco."
1923;"ITALIANO";"E troppo un nemico, e cento amici non bastano."
1924;"ITALIANO";"E un cattivo boccone quello che affoga."
1925;"ITALIANO";"E un mal giuoco dove nessun guadagna."
1926;"ITALIANO";"E’ va più d’un asino al mercato."
1927;"ITALIANO";"Fa bene, e non guardare a chi."
1928;"ITALIANO";"Facilmente si trova un bastone per dar ad un cane."
1929;"ITALIANO";"Fammi indovino, e ti farò ricco."
1930;"ITALIANO";"Fanciulli piccioli, dolor di testa; fanciulli grandi, dolor di cuore."
1931;"ITALIANO";"Fa quel che devi, e n’arrivi ciò che potrà."
1932;"ITALIANO";"Far conto dell’uovo non ancor nato."
1933;"ITALIANO";"Far due chiodi ad un caldo."
1934;"ITALIANO";"Far d’una mosca un elefante."
1935;"ITALIANO";"Fare e dire son due cose."
1936;"ITALIANO";"Farò quel che potrò, e un poco manco per potervi durare."
1937;"ITALIANO";"Fatta la legge, trovata la malizia."
1938;"ITALIANO";"Fatti di miele, e ti mangeran le mosche."
1939;"ITALIANO";"Felice non è chi d’esser non sa."
1940;"ITALIANO";"Femmine e galline per troppo andar si perdono."
1941;"ITALIANO";"Fidati era un buon uomo, Nontifidare era meglio."
1942;"ITALIANO";"Figlie e vetri son sempre in pericolo."
1943;"ITALIANO";"Finche vi è fiato vi è speranza."
1944;"ITALIANO";"Fino alla morte non si sa la sorte."
1945;"ITALIANO";"Forte è l’aceto di vin dolce."
1946;"ITALIANO";"Fortuna, e dormi."
1947;"ITALIANO";"Fra dir e far si guastano scarpe assai."
1948;"ITALIANO";"Fra galantuomini parola è istrumento."
1949;"ITALIANO";"Fra gli amici guardami Iddio, che fra’ nemici mi guarderò io."
1950;"ITALIANO";"Frà Modesto non fu mai priore."
1951;"ITALIANO";"Freno indorato non megliora il cavallo."
1952;"ITALIANO";"Gatta inguantata non prese mai topo."
1953;"ITALIANO";"Gatto rinchiuso doventa leone."
1954;"ITALIANO";"Gente di confini, o ladri o assassini."
1955;"ITALIANO";"Gettar la fune dietro la secchia."
1956;"ITALIANO";"Gettar le margherite ai porci."
1957;"ITALIANO";"Gli alberi grandi fanno più ombra che frutto."
1958;"ITALIANO";"Gli errori del medico gli copre la terra."
1959;"ITALIANO";"Gl’Italiani saggi innanzi il fatto, i Tedeschi nel fatto, i Francesi dopo il fatto."
1960;"ITALIANO";"Gli onori mutano i costumi."
1961;"ITALIANO";"Gli stornelli son magri perchè vanno in frotta."
1962;"ITALIANO";"Gli uomini alla moderna, e gli asini all’antica."
1963;"ITALIANO";"Gli uomini fanno la roba, e le donne la conservano."
1964;"ITALIANO";"Gli uomini hanno gli anni ch’e’ sentono, e le donne quelli che mostrano."
1965;"ITALIANO";"Gola d’adulatori, sepolcro aperto."
1966;"ITALIANO";"Granata nuova spazza ben la casa."
1967;"ITALIANO";"Granata nuova, tre dì buona."
1968;"ITALIANO";"Gran chiesa e poca divozione."
1969;"ITALIANO";"Gran fumo, poco arrosto."
1970;"ITALIANO";"Grassa cucina, magro testamento."
1971;"ITALIANO";"Guarda che tu non lasci la coda nell’uscio."
1972;"ITALIANO";"Guarda innanzi che tu salti."
1973;"ITALIANO";"Guardatevi dal “Se io avessi sospettato.”"
1974;"ITALIANO";"Guardati da aceto di vin dolce."
1975;"ITALIANO";"Guardati da alchimista povero."
1976;"ITALIANO";"Guardati da chi non ha che perdere."
1977;"ITALIANO";"Guardati dall’occasione, e ti guarderà Dio da’ peccati."
1978;"ITALIANO";"Guerra cominciata, inferno scatenato."
1979;"ITALIANO";"I bocconi grossi spesso strozzano."
1980;"ITALIANO";"I buoni nuotatori alfin s’affogano."
1981;"ITALIANO";"I cani abbaiano a chi non conoscono."
1982;"ITALIANO";"I cenni de’ padroni sono commandamenti."
1983;"ITALIANO";"I colpi non si danno a patti."
1984;"ITALIANO";"I danari del comune sono come l’acqua benedetta, ognun ne piglia."
1985;"ITALIANO";"I danari sono tondi, e girano."
1986;"ITALIANO";"I frutti proibiti sono i più dolci."
1987;"ITALIANO";"I gran dolori sono muti."
1988;"ITALIANO";"Il bugiardo deve aver buona memoria."
1989;"ITALIANO";"Il buon marinaro si conosce al cattivo tempo."
1990;"ITALIANO";"Il buono a qualcosa è l’asino del publico."
1991;"ITALIANO";"Il buono è buono, ma il miglior vince."
1992;"ITALIANO";"Il buon pagatore dell’altrui borsa è signore."
1993;"ITALIANO";"Il buon pastore tosa, e non scortica."
1994;"ITALIANO";"Il buon sangue giammai non può mentire."
1995;"ITALIANO";"Il campanello di camera è il peggior suono che si possa avere negli orecchi."
1996;"ITALIANO";"Il can battuto dal bastone, ha paura dell’ombra."
1997;"ITALIANO";"Il can che vuol mordere, non abbaia."
1998;"ITALIANO";"Il cane scottato dall’acqua calda, ha paura della fredda."
1999;"ITALIANO";"Il cieco non dee giudicar dei colori."
2000;"ITALIANO";"Il danaro è fratello del danaro."
2001;"ITALIANO";"Il danaro è un compendio del poter umano."
2002;"ITALIANO";"Il diavolo dove non può mettere il capo vi mette la coda."
2003;"ITALIANO";"Il diavolo è cattivo, perchè è vecchio."
2004;"ITALIANO";"Il diavolo non è cosi brutto come si dipinge."
2005;"ITALIANO";"Il diavolo, quand’è vecchio, si fa romito."
2006;"ITALIANO";"Il diavolo tenta tutti, ma l’ozioso tenta il diavolo."
2007;"ITALIANO";"Il diavolo vuol tentar Lucifero."
2008;"ITALIANO";"Il domandar costa poco."
2009;"ITALIANO";"Il fatto non si può disfare."
2010;"ITALIANO";"Il fin del corsare è annegare."
2011;"ITALIANO";"Il fin loda l’opera."
2012;"ITALIANO";"Il fiume non s’ingrossa d’acqua chiara."
2013;"ITALIANO";"Il fuoco fa saltar le vespe fuor del vespaio."
2014;"ITALIANO";"Il fuoco non s’estingue con fuoco."
2015;"ITALIANO";"Il leone ebbe bisogno del topo."
2016;"ITALIANO";"Il lungo giorno nò, ma il cuor fa l’opera."
2017;"ITALIANO";"Il lupo non è sempre lupo."
2018;"ITALIANO";"Il lupo piange la pecora, poi se la mangia."
2019;"ITALIANO";"Il male per libra viene, va via per once."
2020;"ITALIANO";"Il mangiare insegna a bere."
2021;"ITALIANO";"Il medico pietoso fa la piaga puzzolente."
2022;"ITALIANO";"Il meglio è nemico del bene."
2023;"ITALIANO";"Il migliore è meno caro."
2024;"ITALIANO";"Il mirto è sempre mirto, benchè sia tra l’ortiche."
2025;"ITALIANO";"Il molino non macina senz’acqua."
2026;"ITALIANO";"Il mondo è dei flemmatici."
2027;"ITALIANO";"Il mondo è di chi ha pazienza."
2028;"ITALIANO";"Il mondo è fatto a scale, chi le scende e chi le sale."
2029;"ITALIANO";"Il mondo sta con tre cose: fare, disfare, e dare ad intendere."
2030;"ITALIANO";"Il mortaio sa sempre d’aglio."
2031;"ITALIANO";"Il nemico ti fa savio."
2032;"ITALIANO";"Il pane degli altri è troppo salato."
2033;"ITALIANO";"Il pane degli altri ha sette croste."
2034;"ITALIANO";"Il pane mangiato è presto dimenticato."
2035;"ITALIANO";"Il parer proprio non ha mai torto."
2036;"ITALIANO";"Il pesce grande mangia il picciolo."
2037;"ITALIANO";"Il più difficile è il metter il piè in istaffa."
2038;"ITALIANO";"Il più duro passo è quello della soglia."
2039;"ITALIANO";"Il più forte ha sempre ragione."
2040;"ITALIANO";"Il primier colpo per due colpi vale."
2041;"ITALIANO";"Il riso fa buon sangue."
2042;"ITALIANO";"Il sacco de’ mendici non ha fondo."
2043;"ITALIANO";"Il sangue del soldato fa grande il capitano."
2044;"ITALIANO";"Il satollo non crede al digiuno."
2045;"ITALIANO";"Il secondo pensiero è il migliore."
2046;"ITALIANO";"Il soldato per far male è ben pagato."
2047;"ITALIANO";"Il tempo buono viene una volta sola."
2048;"ITALIANO";"Il tempo è una lima sorda."
2049;"ITALIANO";"I lupi non si mangiano l’un l’altro."
2050;"ITALIANO";"Il veleno si spegne col veleno."
2051;"ITALIANO";"I matrimonj sono, non come si fanno, ma come riescono."
2052;"ITALIANO";"I matti fanno le feste, ed i savj le godono."
2053;"ITALIANO";"I migliori alberi sono i più battuti."
2054;"ITALIANO";"I mosconi rompon le tele de’ ragni."
2055;"ITALIANO";"In bocca chiusa non cade pera."
2056;"ITALIANO";"In bocca chiusa non c’entran mosche."
2057;"ITALIANO";"In cammino battuto erba non cresce."
2058;"ITALIANO";"In casa, Argo; di fuori, talpa."
2059;"ITALIANO";"Indarno si tende la rete in vista degli uccelli."
2060;"ITALIANO";"In guaina d’oro coltello di piombo."
2061;"ITALIANO";"In lungo viaggio, anche una paglia pesa."
2062;"ITALIANO";"In picciol tempo passa ogni gran pioggia."
2063;"ITALIANO";"In quella casa è poca pace ove la gallina canta, ed il gallo tace."
2064;"ITALIANO";"Insegnando s’impara."
2065;"ITALIANO";"In tempo di guerra ogni cavallo ha soldo."
2066;"ITALIANO";"In terra di ciechi beato chi ha un occhio."
2067;"ITALIANO";"In un giorno non si fe’ Roma."
2068;"ITALIANO";"Invano si pesca, se l’amo non ha esca."
2069;"ITALIANO";"I paragoni son tutti odiosi."
2070;"ITALIANO";"I pazzi crescono senza innaffiarli."
2071;"ITALIANO";"I pazzi per lettera sono i maggiori pazzi."
2072;"ITALIANO";"I piccioli ladri s’impiccano per la gola, i grossi per la borsa."
2073;"ITALIANO";"I principi hanno le braccia lunghe."
2074;"ITALIANO";"I salici son deboli, e pur legano le legne più grosse."
2075;"ITALIANO";"La barba non fa il filosofo."
2076;"ITALIANO";"L’abito è una seconda natura."
2077;"ITALIANO";"L’abito non fa il monaco."
2078;"ITALIANO";"La bonaccia burrasca minaccia."
2079;"ITALIANO";"La borsa degli amanti va legata con fil di ragno."
2080;"ITALIANO";"La botte non può dare se non del vino ch’ella ha."
2081;"ITALIANO";"La botte piena non fa rumore."
2082;"ITALIANO";"La buona fama è come il cipresso: una volta tagliato non rinverdisce più."
2083;"ITALIANO";"La buona roba non fu mai cara."
2084;"ITALIANO";"La carta non diventa rossa."
2085;"ITALIANO";"La chiave d’oro apre ogni porta."
2086;"ITALIANO";"La coda sempre è la più cattiva da scorticare."
2087;"ITALIANO";"La commodità fa l’uomo ladro."
2088;"ITALIANO";"La coscienza vale per mille testimonj."
2089;"ITALIANO";"La diritta è serva della mancina."
2090;"ITALIANO";"La donna all’improvviso, e l’uomo a caso pensato."
2091;"ITALIANO";"La fame caccia il lupo del bosco."
2092;"ITALIANO";"La fame è il meglior intingolo."
2093;"ITALIANO";"La fame muta le fave in mandole."
2094;"ITALIANO";"La forca è fatta per i disgraziati."
2095;"ITALIANO";"La fortuna aiuta i pazzi."
2096;"ITALIANO";"La fuga del nemico abbi sospetta."
2097;"ITALIANO";"La gatta vorrebbe mangiar pesci, ma non pescare."
2098;"ITALIANO";"Lagrime di donna, fontana di malizia."
2099;"ITALIANO";"La guerra fa i ladri, e la pace gl’impicca."
2100;"ITALIANO";"La luna non cura dell’abbaiar de’ cani."
2101;"ITALIANO";"La madre pietosa fa la figliuola tignosa."
2102;"ITALIANO";"La mal erba cresce presto."
2103;"ITALIANO";"L’amicizia si de’ sdruscire, non istracciare."
2104;"ITALIANO";"L’amico non è conosciuto finchè non è perduto."
2105;"ITALIANO";"L’ammalato dorme quando il debitor non dorme."
2106;"ITALIANO";"La moglie e il ronzino piglia dal vicino."
2107;"ITALIANO";"La mosca che punge la tartaruga si rompe il becco."
2108;"ITALIANO";"La mosca ha la sua milza."
2109;"ITALIANO";"La nave non va senza il battello."
2110;"ITALIANO";"La necessità torna in volontà."
2111;"ITALIANO";"La nobiltà è una povera vivanda in tavola."
2112;"ITALIANO";"La padella dice al paiuolo: Fatti in là, che tu mi tigni."
2113;"ITALIANO";"La parola non è mal detta, se non è mal presa."
2114;"ITALIANO";"La paura guarda la vigna."
2115;"ITALIANO";"La pelle d’asino è usa al bastone."
2116;"ITALIANO";"La più lunga strada è la più prossima a casa."
2117;"ITALIANO";"La porta di dietro è quella che ruba la casa."
2118;"ITALIANO";"La prima scodella piace ad ognuno."
2119;"ITALIANO";"La Quaresima che par così lunga, alla tavola d’altri poco dura."
2120;"ITALIANO";"L’aquila non fa guerra ai ranocchi."
2121;"ITALIANO";"La rana non morde perchè non può."
2122;"ITALIANO";"L’armi de’ poltroni non tagliano, nè forano."
2123;"ITALIANO";"L’armi portan pace."
2124;"ITALIANO";"La roba non è di chi la fa, ma di chi la gode."
2125;"ITALIANO";"Lascia la burla quando più piace."
2126;"ITALIANO";"La scusa non richiesta presuppone errore."
2127;"ITALIANO";"L’asino non conosce la coda, se non quando non l’ha più."
2128;"ITALIANO";"La superbia andò a cavallo, e tornò a piedi."
2129;"ITALIANO";"La veste bianca non fa molinaro."
2130;"ITALIANO";"La vita de’ medici, l’anima de’ preti, e la roba de’ legisti sono in gran pericolo."
2131;"ITALIANO";"La volontà è tutto."
2132;"ITALIANO";"La volpe consiglia le altre a tagliarsi la coda, per aver lasciata la propria al laccio."
2133;"ITALIANO";"La volpe dice che l’uva è agresta."
2134;"ITALIANO";"Le amicizie son a buon conto quando si comprano a sberrettate."
2135;"ITALIANO";"Le bestemmie fanno come le processioni: ritornano donde partirono."
2136;"ITALIANO";"Le buone derrate vuotano la borsa."
2137;"ITALIANO";"Le cattive nuove sono le prime."
2138;"ITALIANO";"Le cose non sono come sono, ma come si vedono."
2139;"ITALIANO";"Le disgrazie non vengon mai sole."
2140;"ITALIANO";"Le donne dicono sempre il vero, ma non lo dicono tutto intero."
2141;"ITALIANO";"Le donne sanno un punto più del diavolo."
2142;"ITALIANO";"Le donne si fanno rosse per non arrossire."
2143;"ITALIANO";"Le feste sono belle a casa d’altri."
2144;"ITALIANO";"Legami mani e piei, e gettami tra’ miei."
2145;"ITALIANO";"Le insalate pazze, le fanno i savj."
2146;"ITALIANO";"L’elefante non sente il morso della pulce."
2147;"ITALIANO";"Le leggi sono fatte pei tristi."
2148;"ITALIANO";"Le lucciole non sono lanterne."
2149;"ITALIANO";"Le minacce son arme del minacciato."
2150;"ITALIANO";"Le parole non pascono i gatti."
2151;"ITALIANO";"Le parole son femmine, e i fatti son maschi."
2152;"ITALIANO";"Le piccole spese son quelle che vuotano la borsa."
2153;"ITALIANO";"Le rose cascano, e le spine rimangono."
2154;"ITALIANO";"Le secchie si mettono a combattere col pozzo, e ne portano la testa rotta."
2155;"ITALIANO";"Le siepi non hanno occhi, ma orecchie."
2156;"ITALIANO";"Le vesti degli avvocati sono foderate dell’ostinazion dei litiganti."
2157;"ITALIANO";"L’hai tolta bella? Tuo danno."
2158;"ITALIANO";"L’indugiare è pericoloso."
2159;"ITALIANO";"L’infermo ha libertà di dire il tutto."
2160;"ITALIANO";"L’Inglese italianizzato, un diavolo incarnato."
2161;"ITALIANO";"L’occhio del padrone ingrassa il cavallo."
2162;"ITALIANO";"Loda il mar, e tienti alla terra."
2163;"ITALIANO";"Lontano dagli occhi, lontano dal cuore."
2164;"ITALIANO";"L’oro non compra tutto."
2165;"ITALIANO";"Lo sparagno è il primo guadagno."
2166;"ITALIANO";"L’ospite, ed il pesce dopo tre dì rincresce."
2167;"ITALIANO";"L’ultimo vestito ce lo fanno senza tasche."
2168;"ITALIANO";"Lunga lingua, corta mano."
2169;"ITALIANO";"Lupo non mangia lupo."
2170;"ITALIANO";"Mai si fa cosa ben in fretta, che il fuggir la peste e i rumori, e pigliar pulci."
2171;"ITALIANO";"Mai si serra una porta, che non si apra un’altra."
2172;"ITALIANO";"Male in vacche, e peggio in buoi."
2173;"ITALIANO";"Mangiando viene l’appetito."
2174;"ITALIANO";"Mangia tanto una rozza quanto un buon cavallo."
2175;"ITALIANO";"Matta è quella pecora che si confessa al lupo."
2176;"ITALIANO";"Medico, cura te stesso."
2177;"ITALIANO";"Meglio è aver il marito senza amore che con gelosia."
2178;"ITALIANO";"Meglio è poco che niente."
2179;"ITALIANO";"Meglio tardi che mai."
2180;"ITALIANO";"Meglio un prossimo vicino che un lontano cugino."
2181;"ITALIANO";"Mentre l’erba cresce il cavallo muore di fame."
2182;"ITALIANO";"Mettersi prima il giuppone che la camicia."
2183;"ITALIANO";"Misura tre volte, e taglia una."
2184;"ITALIANO";"Molti si fan scrupolo di sputare in chiesa, e poi inbrattano l’altare."
2185;"ITALIANO";"Molti son bravi quando l’inimico fugge."
2186;"ITALIANO";"Molti voglion l’albero che fingon di rifiutar il frutto."
2187;"ITALIANO";"Molto fumo, e poco arrosto."
2188;"ITALIANO";"Monaco vagabondo non disse mai lode del suo monastero."
2189;"ITALIANO";"Morso di pecora non passa mai la pelle."
2190;"ITALIANO";"Morta la bestia, morto il veleno."
2191;"ITALIANO";"Morto io, morto ognun, ed il porco."
2192;"ITALIANO";"Muove la coda il cane, non per te, ma per il pane."
2193;"ITALIANO";"Muraglia bianca, carta di matto."
2194;"ITALIANO";"N’ammazza più la gola che la spada."
2195;"ITALIANO";"Natale non viene che una volta l’anno."
2196;"ITALIANO";"Necessità non ha legge."
2197;"ITALIANO";"Nè donna, nè tela a lume di candela."
2198;"ITALIANO";"Nei piccioli sacchi sono le migliori spezie."
2199;"ITALIANO";"Nella coda sta il veleno."
2200;"ITALIANO";"Nella guerra d’amor vince chi fugge."
2201;"ITALIANO";"Nella prosperità non fumano gli altari."
2202;"ITALIANO";"Nella veste più fina fa maggior danno la tarmina."
2203;"ITALIANO";"Nella zuffa il debole è forte."
2204;"ITALIANO";"Nessun buon avvocato piatisce mai."
2205;"ITALIANO";"Nessun buon medico piglia mai medicine."
2206;"ITALIANO";"Nessun diventò mai povero per far limosina."
2207;"ITALIANO";"Nessuno si pentì mai d’aver taciuto."
2208;"ITALIANO";"Nessun sente da che parte preme la scarpa, se non chi se la calza."
2209;"ITALIANO";"Niuna maraviglia dura più che tre giorni."
2210;"ITALIANO";"Non basta di saper rubare, bisogna anche saper nascondere."
2211;"ITALIANO";"Non bisogna fasciarsi il capo prima di romperselo."
2212;"ITALIANO";"Non bisogna ripescare tutte le secchie che cascano."
2213;"ITALIANO";"Non c’è amor senza gelosia."
2214;"ITALIANO";"Non c’è il peggior frutto di quello che non matura mai."
2215;"ITALIANO";"Non ci è fumo senza fuoco."
2216;"ITALIANO";"Non ci è il più cattivo sordo di quel che non vuol udire."
2217;"ITALIANO";"Non ci è la peggior burla che la vera."
2218;"ITALIANO";"Non credere al santo se non fa miracoli."
2219;"ITALIANO";"Non dar del pane al cane ogni volta che dimena la coda."
2220;"ITALIANO";"Non darebbe il coltello al diavolo per scannarsi."
2221;"ITALIANO";"Non dir mal dell’anno finchè passato non sia."
2222;"ITALIANO";"Non è bello quel che è bello, ma quel che piace."
2223;"ITALIANO";"Non è buon murator chi rifiuta pietra alcuna."
2224;"ITALIANO";"Non è in alcun luogo chi è per tutto."
2225;"ITALIANO";"Non entra a messa la campana, e pur ognuno ci chiama."
2226;"ITALIANO";"Non è onore all’aquila il vincer la colomba."
2227;"ITALIANO";"Non è scappato chi si strascina la catena dietro."
2228;"ITALIANO";"Non è tempo da giuocar a scacchi quando la casa brucia."
2229;"ITALIANO";"Non è tutto butiro che fa la vacca."
2230;"ITALIANO";"Non è uomo chi non sa dir di nò."
2231;"ITALIANO";"Non si fa ber l’asino quando non ha sete."
2232;"ITALIANO";"Non fu mai cacciator gatto che miagola."
2233;"ITALIANO";"Non fu mai così bella scarpa che non diventasse brutta ciabatta."
2234;"ITALIANO";"Non fu mai sacco sì pieno che non v’entrasse ancor un grano."
2235;"ITALIANO";"Non fu mai vista capra morta di fame."
2236;"ITALIANO";"Non giova a dire, per tal via non passerò, nè di tal acqua beverò."
2237;"ITALIANO";"Non giudicar la nave stando in terra."
2238;"ITALIANO";"Non gridar i pesci fritti prima d’esser presi."
2239;"ITALIANO";"Non istanno bene due galli in un cortile."
2240;"ITALIANO";"Non ischerzar coll’orso, se non vuoi esser morso."
2241;"ITALIANO";"Non lasciar chiodo che non si ributti."
2242;"ITALIANO";"Non mi dir oliva prima che mi vedi colta."
2243;"ITALIANO";"Non mi punse mai scorpione che io non mi medicassi col suo olio."
2244;"ITALIANO";"Non mordere se non sai se è pietra o pane."
2245;"ITALIANO";"Non mostrar mai nè il fondo della tua borsa, nè del tuo animo."
2246;"ITALIANO";"Non ogni fiore fa buon odore."
2247;"ITALIANO";"Non ogni giorno è festa."
2248;"ITALIANO";"Non ogni parola vuol risposta."
2249;"ITALIANO";"Non pensa il cor tutto quel che dice la bocca."
2250;"ITALIANO";"Non pianse mai uno che non ridesse un altro."
2251;"ITALIANO";"Non puoi mal fare a nave rotta."
2252;"ITALIANO";"Non può uscir del sacco se non quel che ci è."
2253;"ITALIANO";"Non resta mai carne in beccheria per trista ch’ella sia."
2254;"ITALIANO";"Non ricordare la croce al diavolo."
2255;"ITALIANO";"Non ricordar il capestro in casa dell’impiccato."
2256;"ITALIANO";"Non ride sempre la moglie del ladro."
2257;"ITALIANO";"Non scortica la lingua il parlar dolce."
2258;"ITALIANO";"Non si crede al santo se non fa miracoli."
2259;"ITALIANO";"Non si deve far male per trarne bene."
2260;"ITALIANO";"Non si dice mai tanto una cosa che non sia qualche cosa."
2261;"ITALIANO";"Non si fa mantello per un’acqua sola."
2262;"ITALIANO";"Non si offende mai cane gettandogli le ossa."
2263;"ITALIANO";"Non si può ad un tempo bere e fischiare."
2264;"ITALIANO";"Non si può cavar sangue dalla rapa."
2265;"ITALIANO";"Non si può entrare in Paradiso a dispetto de’santi."
2266;"ITALIANO";"Non si può far andar un molino a vento co’ mantici."
2267;"ITALIANO";"Non si serra mai una porta che non se n’apra un’altra."
2268;"ITALIANO";"Non si va in Paradiso in carrozza."
2269;"ITALIANO";"Non si vorria esser solo in Paradiso."
2270;"ITALIANO";"Non son tutti santi quelli che vanno in chiesa."
2271;"ITALIANO";"Non svegliare il can che dorme."
2272;"ITALIANO";"Non ti metter in dito anello troppo stretto."
2273;"ITALIANO";"Non tuona mai che non piova."
2274;"ITALIANO";"Non tutte le pecore sono per il lupo."
2275;"ITALIANO";"Non tutti dormono quelli che hanno serrati gli occhi."
2276;"ITALIANO";"Non v’è barba al mondo così ben rasa, che un altro barbier non ci trovi da radere."
2277;"ITALIANO";"Non vender la pelle dell’orso prima di pigliarlo."
2278;"ITALIANO";"Non v’è peggior burla della vera."
2279;"ITALIANO";"Non v’è peggior ladro d’un cattivo libro."
2280;"ITALIANO";"Non v’è rosa senza spina."
2281;"ITALIANO";"Non v’è sì tristo cane che non meni la coda."
2282;"ITALIANO";"Non vi è abbastanza se niente avanza."
2283;"ITALIANO";"Non vien dì che non venga sera."
2284;"ITALIANO";"Novella trista arriva presto."
2285;"ITALIANO";"Nulla nuova, buona nuova."
2286;"ITALIANO";"Nuova rete non piglia uccello vecchio."
2287;"ITALIANO";"O bene o male, tutti dobbiamo vivere."
2288;"ITALIANO";"Occhio che non vede, cuor che non duole."
2289;"ITALIANO";"Odi l’altra parte, e credi poco."
2290;"ITALIANO";"Odio ricominciato è peggio che prima."
2291;"ITALIANO";"Odi, vedi, e taci, se vuoi viver in pace."
2292;"ITALIANO";"Offerir molto è spezie di negare."
2293;"ITALIANO";"Ogni acqua estingue il fuoco."
2294;"ITALIANO";"Ogni acqua va al mare."
2295;"ITALIANO";"Ogni bottega ha la sua malizia."
2296;"ITALIANO";"Ogni cosa è d’ogni anno."
2297;"ITALIANO";"Ogni cosa ha cagione."
2298;"ITALIANO";"Ogni cosa serve a qualche cosa."
2299;"ITALIANO";"Ogni cosa si sopporta eccetto il buon tempo."
2300;"ITALIANO";"Ogni cosa vuol principio."
2301;"ITALIANO";"Ogni dieci anni un uomo ha bisogno dell’altro."
2302;"ITALIANO";"Ogni dì non è festa."
2303;"ITALIANO";"Ogni disuguaglianza amore agguaglia."
2304;"ITALIANO";"Ogni dì vien sera."
2305;"ITALIANO";"Ogni lucciola non è fuoco."
2306;"ITALIANO";"Ogni medaglia ha il suo rovescio."
2307;"ITALIANO";"Ogni monte ha la sua valle."
2308;"ITALIANO";"Ogni nave fa acqua: quale a mezzo, quale a proda, e quale in sentina."
2309;"ITALIANO";"Ogni pazzo è savio quando tace."
2310;"ITALIANO";"Ogni pazzo vuol dar consiglio."
2311;"ITALIANO";"Ogni pignattaro loda la sua pignatta, e più quella che tiene rotta."
2312;"ITALIANO";"Ogni promessa è debito."
2313;"ITALIANO";"Ogni rosa ha la sua spina."
2314;"ITALIANO";"Ogni scusa è buona pur che vaglia."
2315;"ITALIANO";"Ogni tua guisa non sappia la tua camicia."
