"ID";"IDIOMA";"REFRAN"
158;"FRANCES";"Bien nourri et mal appris."
159;"FRANCES";"Bien vient à mieux, et mieux à mal."
160;"FRANCES";"Boire et manger, coucher ensemble, c’est mariage, ce me semble."
161;"FRANCES";"Bon avocat, mauvais voisin."
162;"FRANCES";"Bon charretier tourne en petit lieu."
163;"FRANCES";"Bon chien chasse de race."
164;"FRANCES";"Bon droit a besoin d’aide."
165;"FRANCES";"Bon fait voler bas à cause des branches."
166;"FRANCES";"Bon gaignage fait bon potage."
167;"FRANCES";"Bon guet chasse malaventure."
168;"FRANCES";"Bon jour bonne ”oe]uvre."
169;"FRANCES";"Bonjour lunettes, adieu fillettes."
170;"FRANCES";"Bon nageur de n’être noyé n’est pas sûr."
171;"FRANCES";"Bonne bête s’échauffe en mangeant."
172;"FRANCES";"Bonne epée, point querelleur."
173;"FRANCES";"Bonne est la maille qui sauve le denier."
174;"FRANCES";"Bonne journée fait qui de fol se délivre."
175;"FRANCES";"Bonne renommée vaut mieux que ceinture dorée."
176;"FRANCES";"Bon sang ne peut mentir."
177;"FRANCES";"Bons mots n’épargnent nuls."
178;"FRANCES";"Bons nageurs sont à la fin noyés."
179;"FRANCES";"Bouche serrée, mouche n’y entre."
180;"FRANCES";"Bourdes vrayes ne plaisent jamais."
181;"FRANCES";"Brebis comptées, le loup les mange."
182;"FRANCES";"Brebis qui bêle perd sa goulée."
183;"FRANCES";"Brebis trop apprivoisée de trop d’agneaux est tettée."
184;"FRANCES";"Bûche tortue fait bon feu."
185;"FRANCES";"Calomniez, calomniez: il en reste toujours quelque chose."
186;"FRANCES";"Cela fait venir de l’eau au moulin."
187;"FRANCES";"Celui à bon gage du chat qui en tient la peau."
188;"FRANCES";"Celui est homme de bien qui est homme de biens."
189;"FRANCES";"Celui gouverne bien mal le miel qui n’en taste et ses doigts n’en lèche."
190;"FRANCES";"Celui peut hardiment nager à qui l’on soutient le menton."
191;"FRANCES";"Celui qui est adonné aux dez, le diable le tire par le nez."
192;"FRANCES";"Celui qui est sur les épaules d’un géant voit plus loin que celui qui le porte."
193;"FRANCES";"Celui qui tient la queue de la poële risque de se brûler."
194;"FRANCES";"Ce ne sont pas les plus belles qui font les grandes passions."
195;"FRANCES";"Ce n’est pas tout que des choux, il faut encore de la graisse."
196;"FRANCES";"Ce n’est rien, c’est une femme qui se noye."
197;"FRANCES";"Cent ans n’est guère, mais jamais c’est beaucoup."
198;"FRANCES";"Cependant le bonhomme n’a pas son sac."
199;"FRANCES";"Ce que fait la louve plaît au loup."
200;"FRANCES";"Ce que femme veut Dieu le veut."
201;"FRANCES";"Ce que le gantelet gagne le gorgeret le mange."
202;"FRANCES";"Ce que l’enfant oit au foyer est bientôt connu jusqu’au moustier."
203;"FRANCES";"Ce que le sobre tient au c”oe]ur est sur la langue du buveur."
204;"FRANCES";"Ce que moine pense, il ose le faire."
205;"FRANCES";"Ce qu’”oe]il ne voit, au c”oe]ur ne deult."
206;"FRANCES";"Ce que poulain prend en jeunesse il le continue en vieillesse."
207;"FRANCES";"Ce qui est différé n’est pas perdu."
208;"FRANCES";"Ce qui nuit à l’un duit à l’autre."
209;"FRANCES";"Ce qui suffit ne fut jamais peu."
210;"FRANCES";"Ce sont les pires bourdes que les vraies."
211;"FRANCES";"C’est folie de béer contre un four."
212;"FRANCES";"C’est folie de faire son médecin son héritier."
